bus_name,source,destination,departure_time,arrival_time,doopada katte,lamina,nitte,manjarapalke,belman,santhoor,kujara katte,adve,,,,haleangady
Padmambikaa,Mangalore,Karkala,06:00,07:46,,,07:26,,,,,,,,,06:46
Kusuma,Mangalore,Karkala,06:43,08:23,,,08:03,,,,,,,,,07:23
Vishal,Mangalore,Karkala,06:50,08:30,,,08:10,,,,,,,,,07:30
Navadurga Prasad,Mangalore,Karkala,07:16,08:56,,,08:36,,,,,,,,,07:56
Navadurga Prasad,Mangalore,Karkala,07:21,09:01,,,08:41,,,,,,,,,08:01
Laxmi Ganesh,Mangalore,Karkala,08:00,09:40,,,09:20,,,,,,,,,08:40
,,,,,,,,,,,,,,,,
Padmambikaa,Mangalore,Karkala,08:57,10:37,,,10:17,,,,,,,,,09:37
,,,,,,,,,,,,,,,,
Vishal,Mangalore,Karkala,10:13,11:53,,,11:33,,,,,,,,,10:53
Vishal,Mangalore,Karkala,10:45,12:25,,,12:05,,,,,,,,,11:25
Vishal,Mangalore,Karkala,10:51,12:31,,,12:11,,,,,,,,,11:31
Vishal,Mangalore,Karkala,10:56,12:36,,,12:16,,,,,,,,,11:36
Navadurga Prasad,Mangalore,Karkala,11:04,12:44,,,12:24,,,,,,,,,11:44
Navadurga Prasad,Mangalore,Karkala,11:32,13:12,,,12:52,,,,,,,,,12:12
Vishal,Mangalore,Karkala,11:43,13:23,,,13:03,,,,,,,,,12:23
Laxmi Ganesh,Mangalore,Karkala,12:03,13:43,,,13:23,,,,,,,,,12:43
Reshma,Mangalore,Karkala,12:15,13:55,,,13:35,,,,,,,,,12:55
Padmambikaa,Mangalore,Karkala,12:29,14:09,,,13:49,,,,,,,,,13:09
Padmambikaa,Mangalore,Karkala,12:48,14:28,,,14:08,,,,,,,,,13:28
Vishal,Mangalore,Karkala,13:18,14:58,,,14:38,,,,,,,,,13:58
Padmambikaa,Mangalore,Karkala,13:31,15:11,,,14:51,,,,,,,,,14:11
Christa Kiran,Mangalore,Karkala,13:32,15:12,,,14:52,,,,,,,,,14:12
Padmambikaa,Mangalore,Karkala,13:49,15:29,,,15:09,,,,,,,,,14:29
Vishal,Mangalore,Karkala,14:05,15:45,,,15:25,,,,,,,,,14:45
Ayra,Mangalore,Karkala,14:08,15:48,,,15:28,,,,,,,,,14:48
Vishal,Mangalore,Karkala,14:23,16:03,,,15:43,,,,,,,,,15:03
Shree Annapoorneshwari,Mangalore,Karkala,14:35,16:15,,,15:55,,,,,,,,,15:15
Mercy,Mangalore,Karkala,14:48,16:28,,,16:08,,,,,,,,,15:28
Navadurga Prasad,Mangalore,Karkala,14:52,16:32,,,16:12,,,,,,,,,15:32
Vishal,Mangalore,Karkala,15:06,16:46,,,16:26,,,,,,,,,15:46
Vishal,Mangalore,Karkala,15:20,17:00,,,16:40,,,,,,,,,16:00
Vishal,Mangalore,Karkala,15:26,17:06,,,16:46,,,,,,,,,16:06
Vishal,Mangalore,Karkala,15:29,17:09,,,16:49,,,,,,,,,16:09
Rajarajeshwari,Mangalore,Karkala,16:19,17:59,,,17:39,,,,,,,,,16:59
Laxmi Ganesh,Mangalore,Karkala,16:31,18:11,,,17:51,,,,,,,,,17:11
Padmambikaa,Mangalore,Karkala,17:35,19:15,,,18:55,,,,,,,,,18:15
Vishal,Mangalore,Karkala,17:45,19:25,,,19:05,,,,,,,,,18:25
Vishal,Mangalore,Karkala,18:05,19:45,,,19:25,,,,,,,,,18:45
Padmambikaa,Mangalore,Karkala,18:15,19:55,,,19:35,,,,,,,,,18:55
Vishal,,,19:20,21:00,,,19:20,,,,,,,,,20:00
Rajarajeshwari,Mangalore,Karkala,21:50,23:30,,,23:10,,,,,,,,,22:30
Vishal,Mangalore,Karkala,06:10,07:50,,,07:30,,,,,,,,,06:50
Padmambikaa,Mangalore,Karkala,09:25,11:05,,,10:45,,,,,,,,,10:05
Laxmi Ganesh,Mangalore,Karkala,16:31,18:11,,,17:51,,,,,,,,,17:11
